Word,Meaning,Score,Consecutive hits,Consecutive miss,Repeat word?
Attach,Anexar,6,1,-1,
Exhibit,Exibir,6,1,-1,
Exclude,Excluir,6,1,-1,
Adequate,Adequado,6,1,-1,
Footer,Rodapé,6,1,-1,
Apparent,Aparente,-1,0,-1,
Adapt,Adaptar,6,1,-1,
Draft,Esboço/Projeto,6,1,-1,
Analogy,Analogia,6,1,-1,
Evaluate,Avaliar,6,1,-1,
Approximate,Aproximado,6,1,-1,
Develop,Desenvolve,6,1,-1,
Contend,Competir/Lutar,6,1,-1,
Discover,Descobrir,6,1,-1,
Claim,Afirmação,6,1,-1,
Ambiguous,Ambíguo,6,1,-1,
Acknowledge,Reconhecer,6,1,-1,
Assign,Atribuir,6,1,-1,
Devise,Inventar,6,1,-1,
Clue,Pista/Dica,6,1,-1,
Authority,Autoridade,6,1,-1,
Adjust,Ajustar,6,1,-1,
Former,Antigo,6,1,-1,
Associate,Associado,6,1,-1,
Assess,Avaliar,6,1,-1,
Complete,Completo,6,1,-1,
Approach,Aproximação,6,1,-1,
Append,Acrescentar,6,1,-1,
Brief,Breve/Curto,6,1,-1,
Discuss,Discutir,6,1,-1,
Convey,Transmitir,6,1,-1,
Assume,Presumir,6,1,-1,
Access,Acesso,6,1,-1,
Assumption,Hipótese,6,1,-1,
Employ,Empregar,6,1,-1,
Appreciate,Apreciar,6,1,-1,
Clarify,Esclarecer,6,1,-1,
Capacity,Capacidade,6,1,-1,
Always,Sempre,6,1,-1,
Aspect,Aspecto,6,1,-1,
Contradict,Contraditório,6,1,-1,
Coincide,Coincidir,-1,0,-1,
Concrete,Concreto/Real,6,1,-1,
Depict,Retratar,6,1,-1,
Collapse,Colapso,-1,0,-1,
Arbitrary,Arbitrário,6,1,-1,
Attribute,Atributo,6,1,-1,
Evidence,Prova/Evidência,6,1,-1,
Character,Personagem,6,1,-1,
Characteristic,Característico,6,1,-1,
Aggregate,Agregar,6,1,-1,
Assert,Afirmar,-1,0,-1,
Compose,Compor,6,1,-1,
Acquire,Adquirir,6,1,-1,
Annual,Anual,6,1,-1,
Accompany,Acompanhar,6,1,-1,
Capable,Capaz,6,1,-1,
Clarify,Esclarecer,6,1,-1,
Appropriate,Apropriado,6,1,-1,
Allocate,Distribuir,6,1,-1,
OldDeck,,,,,
Life,Vida,0,-1,-1,
Building,Prédio,0,-1,-1,
Apartment,Apartamento,0,-1,-1,
Honey,Mel,0,-1,-1,
Toy,Brinquedo,0,-1,-1,
Tomorrow,Amanhã,0,-1,-1,
Die,Morrer,0,-1,-1,
Travel,Viajar,0,-1,-1,
Trip,Viagem,0,-1,-1,
Fly,Voar,0,-1,-1,
Weather,Tempo,0,-1,-1,
Rain,Chuva/Chover,0,-1,-1,
Snow,Neve,0,-1,-1,
Town,Cidade,0,-1,-1,
Also,Também,0,-1,-1,
Poor,Pobre,0,-1,-1,
Rich,Rico,0,-1,-1,
Thin,Magro,0,-1,-1,
Fat,Gordo,0,-1,-1,
Wall,Parede,0,-1,-1,
Floor,Chão,0,-1,-1,
Doll,Boneca,0,-1,-1,
Grass,Grama,0,-1,-1,
Check,Conta/Checar,0,-1,-1,
Restrom,Banheiro,0,-1,-1,
Those,Aqueles,0,-1,-1,
These,Esses,0,-1,-1,
Ear,Orelha,0,-1,-1,
Catch,Pegar/Capturar,0,-1,-1,
Cracker,Bolacha,0,-1,-1,
Kick,Chutar,0,-1,-1,
Often,Frequentemente,0,-1,-1,
Late,Tarde/Atrasado,0,-1,-1,
Arm,Braço,0,-1,-1,
Feel,Sentir,0,-1,-1,
Turn,Virar,0,-1,-1,
Street,Rua,0,-1,-1,
Back,Voltar/Costas,0,-1,-1,
Outside,Lá fora,0,-1,-1,
Only,Apenas,0,-1,-1,
Past,Passado/Passando,0,-1,-1,
Pencil,Lápis,0,-1,-1,
Blackboard,Quadro negro,0,-1,-1,
Bookcase,Estante,0,-1,-1,
Driver,Motorista,0,-1,-1,
Be,Ser/Estar,0,-1,-1,
Because,Porque,0,-1,-1,
It is,É,0,-1,-1,
Ice cream,Sorvete,0,-1,-1,
Juice,Suco,0,-1,-1,
Think,Pensar/Achar que,0,-1,-1,
Call,Telefonar/Ligar,0,-1,-1,
Dangerous,Perigoso,0,-1,-1,
Pair,Par,0,-1,-1,
Begin,Iniciar,0,-1,-1,
Again,De novo,0,-1,-1,
Boring,Chato/Entediante,0,-1,-1,
Listening to,Ouvir (com atenção),0,-1,-1,
Sentence,Sentença/Frase,0,-1,-1,
Last,Passado/Último,0,-1,-1,
College,Faculdade,0,-1,-1,
Thousand,Mil,0,-1,-1,
Meal,Refeição,0,-1,-1,
Cost,Custa,0,-1,-1,
Shower,Chuveiro/Banho,0,-1,-1,
Any,Nenhum/Algum,0,-1,-1,
See you,Até,0,-1,-1,
